Dendrometer,.id,Timestamp,Moisture,T1,T2,T3,Radius,TWD
ET5b,39110,2023-02-02T00:15:00Z,4,17.625,-200,-200,4267.5912230303775,0
ET5b,39111,2023-02-02T00:30:00Z,4,17.5,-200,-200,4267.5912230303775,0
ET5b,39112,2023-02-02T00:45:00Z,4,17.3125,-200,-200,4267.5912230303775,0
ET5b,39113,2023-02-02T01:00:00Z,4,17.25,-200,-200,4267.5912230303775,0
ET5b,39114,2023-02-02T01:15:00Z,4,17.1875,-200,-200,4267.5912230303775,0
ET5b,39115,2023-02-02T01:30:00Z,4,16.1875,-200,-200,4268.134588350345,0
ET5b,39116,2023-02-02T01:45:00Z,4,16.1875,-200,-200,4269.221318990282,0
ET5b,39117,2023-02-02T02:00:00Z,4,16.375,-200,-200,4271.394780270155,0
ET5b,39118,2023-02-02T02:15:00Z,4,16.625,-200,-200,4273.02487623006,0
ET5b,39119,2023-02-02T02:30:00Z,4,16.625,-200,-200,4274.654972189965,0
ET5b,39120,2023-02-02T02:45:00Z,4,16.5,-200,-200,4276.556750809853,0
ET5b,39121,2023-02-02T03:00:00Z,4,16.1875,-200,-200,4277.915164109773,0
ET5b,39122,2023-02-02T03:15:00Z,4,16.25,-200,-200,4278.730212089726,0
ET5b,39123,2023-02-02T03:30:00Z,4,16.125,-200,-200,4279.545260069678,0
ET5b,39124,2023-02-02T03:45:00Z,4,16.25,-200,-200,4281.718721349551,0
ET5b,39125,2023-02-02T04:00:00Z,4,15.9375,-200,-200,4282.805451989488,0
ET5b,39126,2023-02-02T04:15:00Z,4,15.8125,-200,-200,4284.163865289408,0
ET5b,39127,2023-02-02T04:30:00Z,4,15.9375,-200,-200,4285.522278589328,0
ET5b,39128,2023-02-02T04:45:00Z,4,16,-200,-200,4286.337326569281,0
ET5b,39129,2023-02-02T05:00:00Z,4,16,-200,-200,4287.424057209218,0
ET5b,39130,2023-02-02T05:15:00Z,4,16.125,-200,-200,4289.869201149074,0
ET5b,39131,2023-02-02T05:30:00Z,4,15.875,-200,-200,4290.140883809058,0
ET5b,39132,2023-02-02T05:45:00Z,4,16,-200,-200,4290.684249129026,0
ET5b,39133,2023-02-02T06:00:00Z,4,15.75,-200,-200,4291.227614448995,0
ET5b,39134,2023-02-02T06:15:00Z,4,15.875,-200,-200,4292.314345088931,0
ET5b,39135,2023-02-02T06:30:00Z,4,15.875,-200,-200,4292.857710408899,0
ET5b,39136,2023-02-02T06:45:00Z,4,16,-200,-200,4293.672758388851,0
ET5b,39137,2023-02-02T07:00:00Z,4,15.875,-200,-200,4294.21612370882,0
ET5b,39138,2023-02-02T07:15:00Z,4,15.875,-200,-200,4294.759489028788,0
ET5b,39139,2023-02-02T07:30:00Z,4,15.8125,-200,-200,4295.302854348756,0
ET5b,39140,2023-02-02T07:45:00Z,4,15.75,-200,-200,4295.846219668724,0
ET5b,39141,2023-02-02T08:00:00Z,4,15.875,-200,-200,4296.389584988693,0
ET5b,39142,2023-02-02T08:15:00Z,4,15.9375,-200,-200,4298.019680948598,0
ET5b,39143,2023-02-02T08:30:00Z,4,15.75,-200,-200,4298.019680948598,0
ET5b,39144,2023-02-02T08:45:00Z,4,16,-200,-200,4298.291363608581,0
ET5b,39145,2023-02-02T09:00:00Z,4,16.25,-200,-200,4299.106411588534,0
ET5b,39146,2023-02-02T09:15:00Z,4,16.25,-200,-200,4299.378094248518,0
ET5b,39147,2023-02-02T09:30:00Z,4,15.8125,-200,-200,4300.193142228471,0
ET5b,39148,2023-02-02T09:45:00Z,4,15.8125,-200,-200,4300.736507548439,0
ET5b,39149,2023-02-02T10:00:00Z,4,15.625,-200,-200,4301.2798728684065,0
ET5b,39150,2023-02-02T10:15:00Z,4,15.6875,-200,-200,4301.551555528391,0
ET5b,39151,2023-02-02T10:30:00Z,4,15.75,-200,-200,4302.366603508343,0
ET5b,39152,2023-02-02T10:45:00Z,4,15.9375,-200,-200,4303.181651488296,0
ET5b,39153,2023-02-02T11:00:00Z,4,15.75,-200,-200,4303.453334148279,0
ET5b,39154,2023-02-02T11:15:00Z,4,15.625,-200,-200,4303.453334148279,0
ET5b,39155,2023-02-02T11:30:00Z,4,15.75,-200,-200,4303.996699468248,0
ET5b,39156,2023-02-02T11:45:00Z,4,15.8125,-200,-200,4304.811747448201,0
ET5b,39157,2023-02-02T12:00:00Z,4,15.75,-200,-200,4305.3551127681685,0
ET5b,39158,2023-02-02T12:15:00Z,4,15.625,-200,-200,4305.8984780881365,0
ET5b,39159,2023-02-02T12:30:00Z,4,15.6875,-200,-200,4306.985208728073,0
ET5b,39160,2023-02-02T12:45:00Z,4,15.875,-200,-200,4307.528574048041,0
ET5b,39161,2023-02-02T13:00:00Z,4,15.75,-200,-200,4307.528574048041,0
ET5b,39162,2023-02-02T13:15:00Z,4,15.6875,-200,-200,4308.071939368009,0
ET5b,39163,2023-02-02T13:30:00Z,4,15.5,-200,-200,4308.071939368009,0
ET5b,39164,2023-02-02T13:45:00Z,4,15.5,-200,-200,4308.886987347962,0
ET5b,39165,2023-02-02T14:00:00Z,4,15.5,-200,-200,4309.702035327914,0
ET5b,39166,2023-02-02T14:15:00Z,4,15.5,-200,-200,4310.245400647882,0
ET5b,39167,2023-02-02T14:30:00Z,4,15.375,-200,-200,4311.332131287819,0
ET5b,39168,2023-02-02T14:45:00Z,4,15.3125,-200,-200,4311.060448627834,0
ET5b,39169,2023-02-02T15:00:00Z,4,15.5625,-200,-200,4311.060448627834,0
ET5b,39170,2023-02-02T15:15:00Z,4,15.625,-200,-200,4311.603813947803,0
ET5b,39171,2023-02-02T15:30:00Z,4,15.875,-200,-200,4312.418861927756,0
ET5b,39172,2023-02-02T15:45:00Z,4,15.875,-200,-200,4312.147179267771,0
ET5b,39173,2023-02-02T16:00:00Z,4,15.875,-200,-200,4312.962227247724,0
ET5b,39174,2023-02-02T16:15:00Z,4,15.875,-200,-200,4312.962227247724,0
ET5b,39175,2023-02-02T16:30:00Z,4,15.9375,-200,-200,4312.962227247724,0
ET5b,39176,2023-02-02T16:45:00Z,4,15.875,-200,-200,4312.690544587739,0
ET5b,39177,2023-02-02T17:00:00Z,4,16.125,-200,-200,4312.962227247724,0
ET5b,39178,2023-02-02T17:15:00Z,4,16.375,-200,-200,4313.233909907708,0
ET5b,39179,2023-02-02T17:30:00Z,4,17.625,-200,-200,4313.233909907708,0
ET5b,39180,2023-02-02T17:45:00Z,4,19.875,-200,-200,4314.0489578876595,0
ET5b,39181,2023-02-02T18:00:00Z,4,18,-200,-200,4313.777275227676,0
ET5b,39182,2023-02-02T18:15:00Z,4,20,-200,-200,4314.592323207628,0
ET5b,39183,2023-02-02T18:30:00Z,4,19.5,-200,-200,4314.320640547644,0
ET5b,39184,2023-02-02T18:45:00Z,4,19.25,-200,-200,4314.0489578876595,0
ET5b,39185,2023-02-02T19:00:00Z,4,19.125,-200,-200,4314.0489578876595,0
ET5b,39186,2023-02-02T19:15:00Z,4,19.0625,-200,-200,4313.777275227676,0
