Dendrometer,.id,Timestamp,Moisture,T1,T2,T3,Radius,TWD
ET8a,21256,2022-07-23T16:15:00Z,4,19.75,-200,-200,2931.4559012285313,0
ET8a,21257,2022-07-23T16:30:00Z,4,19.875,-200,-200,2926.5656133488174,0
ET8a,21258,2022-07-23T16:45:00Z,4,19.9375,-200,-200,2913.7965283295644,0
ET8a,21259,2022-07-23T17:00:00Z,4,20.375,-200,-200,2907.819509809914,0
ET8a,21260,2022-07-23T17:15:00Z,4,20.375,-200,-200,2891.2468675508835,0
ET8a,21261,2022-07-23T17:30:00Z,4,20.375,-200,-200,2882.553022431392,0
ET8a,21262,2022-07-23T17:45:00Z,4,20.3125,-200,-200,2880.9229264714872,0
ET8a,21263,2022-07-23T18:00:00Z,4,20.875,-200,-200,2874.945907951837,0
ET8a,21264,2022-07-23T18:15:00Z,4,20.875,-200,-200,2872.5007640119798,0
ET8a,21265,2022-07-23T18:30:00Z,4,20.625,-200,-200,2869.5122547521546,0
ET8a,21266,2022-07-23T18:45:00Z,4,20.375,-200,-200,2868.9688894321866,0
ET8a,21267,2022-07-23T19:00:00Z,4,20.25,-200,-200,2868.9688894321866,0
ET8a,21268,2022-07-23T19:15:00Z,4,20.125,-200,-200,2868.9688894321866,0
ET8a,21269,2022-07-23T19:30:00Z,4,19.875,-200,-200,2868.4255241122182,0
ET8a,21270,2022-07-23T19:45:00Z,4,19.75,-200,-200,2868.4255241122182,0
ET8a,21271,2022-07-23T20:00:00Z,4,19.9375,-200,-200,2868.4255241122182,0
ET8a,21272,2022-07-23T20:15:00Z,4,20.125,-200,-200,2868.4255241122182,0
ET8a,21273,2022-07-23T20:30:00Z,4,20.0625,-200,-200,2868.697206772202,0
ET8a,21274,2022-07-23T20:45:00Z,4,20.125,-200,-200,2868.4255241122182,0
ET8a,21275,2022-07-23T21:00:00Z,4,20.125,-200,-200,2868.4255241122182,0
ET8a,21276,2022-07-23T21:15:00Z,4,20,-200,-200,2868.4255241122182,0
ET8a,21277,2022-07-23T21:30:00Z,4,20.25,-200,-200,2868.4255241122182,0
