Dendrometer,.id,Timestamp,Moisture,T1,T2,T3,Radius,TWD
TV3a,21127,2022-07-29T16:15:00Z,4,19.4375,-200,-200,3264,0
TV3a,21128,2022-07-29T16:30:00Z,4,19.875,-200,-200,3264,0
TV3a,21129,2022-07-29T16:45:00Z,4,20.125,-200,-200,3263,0
TV3a,21130,2022-07-29T17:00:00Z,4,20.4375,-200,-200,3264,0
TV3a,21131,2022-07-29T17:15:00Z,4,21.125,-200,-200,3264,0
TV3a,21132,2022-07-29T17:30:00Z,4,21.625,-200,-200,3264,0
TV3a,21133,2022-07-29T17:45:00Z,4,21.875,-200,-200,3265,0
TV3a,21134,2022-07-29T18:00:00Z,4,21.625,-200,-200,3265,0
TV3a,21135,2022-07-29T18:15:00Z,4,21.5,-200,-200,3264,0
TV3a,21136,2022-07-29T18:30:00Z,4,22.375,-200,-200,3264,0
TV3a,21137,2022-07-29T18:45:00Z,4,21.5,-200,-200,3265,0
TV3a,21138,2022-07-29T19:00:00Z,4,20.125,-200,-200,3264,0
TV3a,21139,2022-07-29T19:15:00Z,4,19.75,-200,-200,3264,0
TV3a,21140,2022-07-29T19:30:00Z,4,20.4375,-200,-200,3264,0
TV3a,21141,2022-07-29T19:45:00Z,4,21.0625,-200,-200,3264,0
TV3a,21142,2022-07-29T20:00:00Z,4,20.375,-200,-200,3265,0
TV3a,21143,2022-07-29T20:15:00Z,4,20.375,-200,-200,3264,0
TV3a,21144,2022-07-29T20:30:00Z,4,20.4375,-200,-200,3264,0
TV3a,21145,2022-07-29T20:45:00Z,4,20.5,-200,-200,3264,0
TV3a,21146,2022-07-29T21:00:00Z,4,22.875,-200,-200,3265,0
TV3a,21147,2022-07-29T21:15:00Z,4,21.375,-200,-200,3265,0
TV3a,21148,2022-07-29T21:30:00Z,4,20.125,-200,-200,3264,0
TV3a,21149,2022-07-29T21:45:00Z,4,19.5625,-200,-200,3265,0
TV3a,21150,2022-07-29T22:00:00Z,4,19.1875,-200,-200,3265,0
TV3a,21151,2022-07-29T22:15:00Z,4,19.125,-200,-200,3264,0
TV3a,21152,2022-07-29T22:30:00Z,4,18.8125,-200,-200,3264,0
TV3a,21153,2022-07-29T22:45:00Z,4,18.5,-200,-200,3265,0
TV3a,21154,2022-07-29T23:00:00Z,4,19.3125,-200,-200,3265,0
TV3a,21155,2022-07-29T23:15:00Z,4,20.8125,-200,-200,3265,0
TV3a,21156,2022-07-29T23:30:00Z,4,19.25,-200,-200,3265,0
TV3a,21157,2022-07-29T23:45:00Z,4,18.375,-200,-200,3265,0
TV3a,21158,2022-07-30T00:00:00Z,4,18,-200,-200,3264,0
TV3a,21159,2022-07-30T00:15:00Z,4,17.9375,-200,-200,3265,0
TV3a,21160,2022-07-30T00:30:00Z,4,17.875,-200,-200,3265,0
TV3a,21161,2022-07-30T00:45:00Z,4,17.75,-200,-200,3264,0
TV3a,21162,2022-07-30T01:00:00Z,4,17.6875,-200,-200,3264,0
TV3a,21163,2022-07-30T01:15:00Z,4,17.625,-200,-200,3264,0
TV3a,21164,2022-07-30T01:30:00Z,4,17.625,-200,-200,3265,0
TV3a,21165,2022-07-30T01:45:00Z,4,17.625,-200,-200,3265,0
TV3a,21166,2022-07-30T02:00:00Z,4,17.6875,-200,-200,3264,0
TV3a,21167,2022-07-30T02:15:00Z,4,17.75,-200,-200,3264,0
TV3a,21168,2022-07-30T02:30:00Z,4,17.625,-200,-200,3265,0
TV3a,21169,2022-07-30T02:45:00Z,4,17.4375,-200,-200,3265,0
TV3a,21170,2022-07-30T03:00:00Z,4,17.375,-200,-200,3265,0
TV3a,21171,2022-07-30T03:15:00Z,4,17.375,-200,-200,3265,0
TV3a,21172,2022-07-30T03:30:00Z,4,17.375,-200,-200,3265,0
TV3a,21173,2022-07-30T03:45:00Z,4,17.125,-200,-200,3265,0
TV3a,21174,2022-07-30T04:00:00Z,4,16.9375,-200,-200,3265,0
TV3a,21175,2022-07-30T04:15:00Z,4,16.875,-200,-200,3265,0
TV3a,21176,2022-07-30T04:30:00Z,4,16.875,-200,-200,3265,0
TV3a,21177,2022-07-30T04:45:00Z,4,16.75,-200,-200,3265,0
TV3a,21178,2022-07-30T05:00:00Z,4,16.75,-200,-200,3265,0
TV3a,21179,2022-07-30T05:15:00Z,4,16.75,-200,-200,3264,0
TV3a,21180,2022-07-30T05:30:00Z,4,16.75,-200,-200,3265,0
TV3a,21181,2022-07-30T05:45:00Z,4,16.75,-200,-200,3265,0
TV3a,21182,2022-07-30T06:00:00Z,4,16.625,-200,-200,3265,0
TV3a,21183,2022-07-30T06:15:00Z,4,16.5,-200,-200,3265,0
TV3a,21184,2022-07-30T06:30:00Z,4,16.5625,-200,-200,3265,0
TV3a,21185,2022-07-30T06:45:00Z,4,16.5625,-200,-200,3265,0
TV3a,21186,2022-07-30T07:00:00Z,4,16.5,-200,-200,3265,0
TV3a,21187,2022-07-30T07:15:00Z,4,16.5,-200,-200,3265,0
TV3a,21188,2022-07-30T07:30:00Z,4,16.375,-200,-200,3265,0
TV3a,21189,2022-07-30T07:45:00Z,4,16.375,-200,-200,3265,0
TV3a,21190,2022-07-30T08:00:00Z,4,16.375,-200,-200,3265,0
TV3a,21191,2022-07-30T08:15:00Z,4,16.25,-200,-200,3265,0
TV3a,21192,2022-07-30T08:30:00Z,4,16.25,-200,-200,3265,0
TV3a,21193,2022-07-30T08:45:00Z,4,16.25,-200,-200,3265,0
TV3a,21194,2022-07-30T09:00:00Z,4,16.25,-200,-200,3264,0
TV3a,21195,2022-07-30T09:15:00Z,4,16.375,-200,-200,3265,0
TV3a,21196,2022-07-30T09:30:00Z,4,16.5,-200,-200,3265,0
TV3a,21197,2022-07-30T09:45:00Z,4,16.5,-200,-200,3264,0
TV3a,21198,2022-07-30T10:00:00Z,4,16.5625,-200,-200,3264,0
