Dendrometer,Timestamp,Radius.OG,Radius,jumpStart
FB1a,2022-07-06T19:00:00Z,2441,2441,NA
FB1a,2022-07-06T19:15:00Z,2441,2441,NA
FB1a,2022-07-06T19:30:00Z,2440,2440,NA
FB1a,2022-07-06T19:45:00Z,2440,2440,NA
FB1a,2022-07-06T20:00:00Z,2438,2438,NA
FB1a,2022-07-06T20:15:00Z,2437,2437,NA
FB1a,2022-07-06T20:30:00Z,2435,2435,NA
FB1a,2022-07-06T20:45:00Z,2435,2435,NA
FB1a,2022-07-06T21:00:00Z,2435,2435,NA
FB1a,2022-07-06T21:15:00Z,2435,2435,NA
FB1a,2022-07-06T21:30:00Z,2435,2435,NA
FB1a,2022-07-06T21:45:00Z,2435,2435,NA
FB1a,2022-07-06T22:00:00Z,2434,2434,NA
FB1a,2022-07-06T22:15:00Z,2434,2434,NA
FB1a,2022-07-06T22:30:00Z,2434,2434,NA
FB1a,2022-07-06T22:45:00Z,2434,2434,NA
FB1a,2022-07-06T23:00:00Z,2434,2434,NA
FB1a,2022-07-06T23:15:00Z,2434,2434,NA
FB1a,2022-07-06T23:30:00Z,2434,2434,NA
FB1a,2022-07-06T23:45:00Z,2434,2434,NA
FB1a,2022-07-07T00:00:00Z,2434,2434,NA
FB1a,2022-07-07T00:15:00Z,2434,2434,NA
FB1a,2022-07-07T00:30:00Z,2434,2434,NA
FB1a,2022-07-07T00:45:00Z,2434,2434,NA
FB1a,2022-07-07T01:00:00Z,2434,2434,NA
FB1a,2022-07-07T01:15:00Z,2434,2434,NA
FB1a,2022-07-07T01:30:00Z,2434,2434,NA
FB1a,2022-07-07T01:45:00Z,2434,2434,NA
FB1a,2022-07-07T02:00:00Z,2434,2434,NA
FB1a,2022-07-07T02:15:00Z,2434,2434,NA
FB1a,2022-07-07T02:30:00Z,2434,2434,NA
FB1a,2022-07-07T02:45:00Z,2434,2434,NA
FB1a,2022-07-07T03:00:00Z,2434,2434,NA
FB1a,2022-07-07T03:15:00Z,2434,2434,NA
FB1a,2022-07-07T03:30:00Z,2434,2434,NA
FB1a,2022-07-07T03:45:00Z,2434,2434,NA
FB1a,2022-07-07T04:00:00Z,2434,2434,NA
FB1a,2022-07-07T04:15:00Z,2434,2434,NA
