Tree,Dendro,.id,Timestamp,Moisture,T1,T2,T3,Radius
ET1,a,20905,2022-07-27T08:45:00Z,4,17.0625,-200,-200,1324.9963327424975
ET1,a,20906,2022-07-27T09:00:00Z,4,17,-200,-200,1324.9963327424975
ET1,a,20907,2022-07-27T09:15:00Z,4,17.125,-200,-200,1324.9963327424975
ET1,a,20908,2022-07-27T09:30:00Z,4,16.875,-200,-200,1324.9963327424975
ET1,a,20909,2022-07-27T09:45:00Z,4,17.125,-200,-200,1324.9963327424975
ET1,a,20910,2022-07-27T10:00:00Z,4,17.25,-200,-200,1324.9963327424975
ET1,a,20911,2022-07-27T10:15:00Z,4,17.25,-200,-200,1324.9963327424975
ET1,a,20912,2022-07-27T10:30:00Z,4,17.25,-200,-200,1324.9963327424975
ET1,a,20913,2022-07-27T10:45:00Z,4,17.25,-200,-200,1324.9963327424975
ET1,a,20914,2022-07-27T11:00:00Z,4,17.5,-200,-200,1324.9963327424975
ET1,a,20915,2022-07-27T11:15:00Z,4,17.125,-200,-200,1324.7246500825133
ET1,a,20916,2022-07-27T11:30:00Z,4,17.125,-200,-200,1324.7246500825133
ET1,a,20917,2022-07-27T11:45:00Z,4,17.625,-200,-200,1324.9963327424975
ET1,a,20918,2022-07-27T12:00:00Z,4,18.3125,-200,-200,1324.7246500825133
ET1,a,20919,2022-07-27T12:15:00Z,4,18.5,-200,-200,1324.7246500825133
ET1,a,20920,2022-07-27T12:30:00Z,4,18.625,-200,-200,1324.7246500825133
ET1,a,20921,2022-07-27T12:45:00Z,4,18.9375,-200,-200,1324.4529674225294
ET1,a,20922,2022-07-27T13:00:00Z,4,19.25,-200,-200,1324.4529674225294
ET1,a,20923,2022-07-27T13:15:00Z,4,19.75,-200,-200,1324.4529674225294
ET1,a,20924,2022-07-27T13:30:00Z,4,20.25,-200,-200,1324.1812847625451
ET1,a,20925,2022-07-27T13:45:00Z,4,20.75,-200,-200,1323.909602102561
ET1,a,20926,2022-07-27T14:00:00Z,4,20.625,-200,-200,1324.1812847625451
ET1,a,20927,2022-07-27T14:15:00Z,4,20.25,-200,-200,1323.909602102561
ET1,a,20928,2022-07-27T14:30:00Z,4,19.75,-200,-200,1323.909602102561
ET1,a,20929,2022-07-27T14:45:00Z,4,20.125,-200,-200,1324.1812847625451
ET1,a,20930,2022-07-27T15:00:00Z,4,21.625,-200,-200,1323.909602102561
ET1,a,20931,2022-07-27T15:15:00Z,4,21.125,-200,-200,1323.637919442577
ET1,a,20932,2022-07-27T15:30:00Z,4,21.8125,-200,-200,1323.637919442577
ET1,a,20933,2022-07-27T15:45:00Z,4,22.375,-200,-200,1323.637919442577
ET1,a,20934,2022-07-27T16:00:00Z,4,22,-200,-200,1323.637919442577
ET1,a,20935,2022-07-27T16:15:00Z,4,22.5,-200,-200,1323.637919442577
ET1,a,20936,2022-07-27T16:30:00Z,4,22.625,-200,-200,1323.3662367825928
ET1,a,20937,2022-07-27T16:45:00Z,4,23.3125,-200,-200,1323.3662367825928
